Date : 2024-01-15 12:05:23
Directory : f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT
Total : 1235 files,  599698 codes, 274558 comments, 107903 blanks, all 982159 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        493 |    304,183 |    144,389 |     51,465 |    500,037 |
| C        |        739 |    286,587 |    130,169 |     55,585 |    472,341 |
| HTML     |          2 |      8,889 |          0 |        852 |      9,741 |
| Ini      |          1 |         39 |          0 |          1 |         40 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |      1,235 |    599,698 |    274,558 |    107,903 |    982,159 |
| Drivers                                                                                                                                                      |        901 |    509,109 |    229,870 |     90,975 |    829,954 |
| Drivers\BSP                                                                                                                                                  |         12 |      2,033 |      1,485 |        622 |      4,140 |
| Drivers\BSP\Components                                                                                                                                       |         12 |      2,033 |      1,485 |        622 |      4,140 |
| Drivers\BSP\Components\lan8742                                                                                                                               |          2 |        572 |        469 |        116 |      1,157 |
| Drivers\BSP\Components\mx25l256                                                                                                                              |          6 |      1,062 |        900 |        357 |      2,319 |
| Drivers\BSP\Components\wt2003hx                                                                                                                              |          4 |        399 |        116 |        149 |        664 |
| Drivers\CMSIS                                                                                                                                                |        658 |    372,471 |     78,633 |     51,269 |    502,373 |
| Drivers\CMSIS\Core                                                                                                                                           |         23 |     16,065 |      7,722 |      5,752 |     29,539 |
| Drivers\CMSIS\Core\Include                                                                                                                                   |         21 |     15,939 |      7,646 |      5,694 |     29,279 |
| Drivers\CMSIS\Core\Template                                                                                                                                  |          2 |        126 |         76 |         58 |        260 |
| Drivers\CMSIS\Core\Template\ARMv8-M                                                                                                                          |          2 |        126 |         76 |         58 |        260 |
| Drivers\CMSIS\Core_A                                                                                                                                         |          9 |      3,736 |      1,647 |        836 |      6,219 |
| Drivers\CMSIS\Core_A\Include                                                                                                                                 |          8 |      3,495 |      1,581 |        732 |      5,808 |
| Drivers\CMSIS\Core_A\Source                                                                                                                                  |          1 |        241 |         66 |        104 |        411 |
| Drivers\CMSIS\DSP                                                                                                                                            |        509 |    137,863 |     41,725 |     21,166 |    200,754 |
| Drivers\CMSIS\DSP\DSP_Lib_TestSuite                                                                                                                          |        207 |     18,849 |      3,769 |      3,388 |     26,006 |
